timestamp;[Extract air (AZ30-BT21)][°C][40026];
2025-11-24T16:46:04+00:00;-0.5;
2025-11-24T16:53:27+00:00;-0.5;
2025-11-24T16:53:28+00:00;8.7;
2025-11-24T16:59:12+00:00;0.0;
2025-11-24T17:03:04+00:00;-9.1;
2025-11-24T17:07:35+00:00;-9.6;
2025-11-24T17:09:41+00:00;-10.1;
2025-11-24T17:11:57+00:00;-10.6;
2025-11-24T17:14:08+00:00;-11.1;
2025-11-24T17:15:04+00:00;-11.6;
2025-11-24T17:18:16+00:00;-12.1;
2025-11-24T17:20:54+00:00;-12.6;
2025-11-24T17:25:50+00:00;-11.6;
2025-11-24T17:26:57+00:00;-11.1;
2025-11-24T17:30:35+00:00;-11.6;
2025-11-24T17:31:51+00:00;-12.1;
2025-11-24T17:38:42+00:00;-11.6;
2025-11-24T17:42:50+00:00;-11.1;
2025-11-24T17:48:19+00:00;-10.1;
2025-11-24T17:49:08+00:00;-9.6;
2025-11-24T17:52:32+00:00;-10.1;
2025-11-24T17:53:56+00:00;-10.6;
2025-11-24T18:00:50+00:00;-11.1;
2025-11-24T18:04:03+00:00;-7.9;
2025-11-24T18:05:12+00:00;-7.9;
2025-11-24T18:05:13+00:00;-0.7;
2025-11-24T18:09:04+00:00;-0.7;
2025-11-24T18:09:05+00:00;7.1;
2025-11-24T18:13:55+00:00;-7.5;
2025-11-24T18:16:14+00:00;-9.5;
2025-11-24T18:20:23+00:00;-10.0;
2025-11-24T18:27:21+00:00;-10.0;
2025-11-24T18:30:15+00:00;-10.5;
2025-11-24T18:43:44+00:00;-10.0;
2025-11-24T18:49:31+00:00;-9.0;
2025-11-24T18:52:10+00:00;-8.5;
2025-11-24T18:53:35+00:00;-8.0;
2025-11-24T18:55:06+00:00;-7.5;
2025-11-24T18:56:56+00:00;-7.0;
2025-11-24T18:58:16+00:00;-6.5;
2025-11-24T18:59:42+00:00;-6.0;
2025-11-24T19:02:30+00:00;-6.0;
2025-11-24T19:02:31+00:00;-0.5;
2025-11-24T19:06:42+00:00;0.0;
2025-11-24T19:08:02+00:00;0.5;
2025-11-24T19:14:31+00:00;0.0;
2025-11-24T19:16:25+00:00;-0.5;
2025-11-24T19:18:07+00:00;-1.0;
