timestamp;[Return line (BT3)][°C][40012];
2025-11-24T04:59:05+00:00;31.1;
2025-11-24T05:01:18+00:00;31.6;
2025-11-24T05:14:59+00:00;32.1;
2025-11-24T05:19:14+00:00;32.6;
2025-11-24T05:22:22+00:00;32.1;
2025-11-24T05:23:45+00:00;31.6;
2025-11-24T05:25:21+00:00;31.1;
2025-11-24T05:27:02+00:00;30.6;
2025-11-24T05:36:16+00:00;31.1;
2025-11-24T05:40:55+00:00;31.6;
2025-11-24T05:47:46+00:00;32.1;
2025-11-24T05:59:59+00:00;32.6;
2025-11-24T06:26:05+00:00;32.1;
2025-11-24T06:37:51+00:00;31.6;
2025-11-24T06:47:48+00:00;31.1;
2025-11-24T06:59:23+00:00;32.7;
2025-11-24T07:01:28+00:00;36.3;
2025-11-24T07:06:01+00:00;36.8;
2025-11-24T07:09:14+00:00;38.3;
2025-11-24T07:11:58+00:00;38.8;
2025-11-24T07:14:10+00:00;39.8;
2025-11-24T07:15:16+00:00;40.3;
2025-11-24T07:16:25+00:00;40.8;
2025-11-24T07:17:34+00:00;41.3;
2025-11-24T07:18:48+00:00;41.8;
2025-11-24T07:20:12+00:00;42.3;
2025-11-24T07:21:15+00:00;42.8;
2025-11-24T07:22:20+00:00;43.3;
2025-11-24T07:23:34+00:00;43.8;
2025-11-24T07:24:37+00:00;44.3;
2025-11-24T07:25:42+00:00;44.8;
2025-11-24T07:26:45+00:00;45.3;
2025-11-24T07:27:51+00:00;45.8;
2025-11-24T07:28:53+00:00;46.3;
2025-11-24T07:30:12+00:00;46.8;
2025-11-24T07:34:25+00:00;26.6;
2025-11-24T07:44:03+00:00;27.1;
2025-11-24T07:50:30+00:00;27.6;
2025-11-24T07:55:41+00:00;28.1;
2025-11-24T07:59:57+00:00;30.1;
2025-11-24T08:04:59+00:00;22.1;
2025-11-24T08:09:06+00:00;23.1;
2025-11-24T08:10:32+00:00;23.6;
2025-11-24T08:11:57+00:00;24.1;
2025-11-24T08:13:27+00:00;24.6;
2025-11-24T08:15:17+00:00;25.1;
2025-11-24T08:17:01+00:00;25.6;
2025-11-24T08:18:39+00:00;26.1;
2025-11-24T08:20:33+00:00;26.6;
2025-11-24T08:22:24+00:00;27.1;
2025-11-24T08:24:26+00:00;27.6;
2025-11-24T08:25:35+00:00;28.1;
2025-11-24T08:27:00+00:00;28.6;
2025-11-24T08:28:41+00:00;29.1;
2025-11-24T08:30:12+00:00;29.6;
2025-11-24T08:32:46+00:00;30.6;
2025-11-24T08:34:38+00:00;31.1;
2025-11-24T08:36:07+00:00;31.6;
2025-11-24T08:39:53+00:00;24.7;
2025-11-24T08:46:27+00:00;24.2;
2025-11-24T08:49:19+00:00;24.2;
2025-11-24T08:49:20+00:00;32.1;
2025-11-24T08:49:35+00:00;31.6;
2025-11-24T08:50:16+00:00;32.6;
2025-11-24T08:53:03+00:00;33.1;
2025-11-24T08:59:10+00:00;33.6;
2025-11-24T09:06:14+00:00;34.1;
2025-11-24T09:09:19+00:00;36.6;
2025-11-24T09:13:54+00:00;37.1;
2025-11-24T09:15:39+00:00;37.6;
2025-11-24T09:17:18+00:00;38.1;
2025-11-24T09:19:03+00:00;38.6;
2025-11-24T09:20:55+00:00;39.1;
2025-11-24T09:22:29+00:00;39.6;
2025-11-24T09:24:04+00:00;40.1;
2025-11-24T09:25:39+00:00;40.6;
2025-11-24T09:27:08+00:00;41.1;
2025-11-24T09:28:57+00:00;40.1;
2025-11-24T09:31:53+00:00;40.6;
2025-11-24T09:33:10+00:00;41.1;
2025-11-24T09:34:16+00:00;41.6;
2025-11-24T09:35:43+00:00;42.1;
2025-11-24T09:36:52+00:00;42.6;
2025-11-24T09:38:00+00:00;43.1;
2025-11-24T09:39:17+00:00;43.6;
2025-11-24T09:40:27+00:00;44.1;
2025-11-24T09:41:44+00:00;44.6;
2025-11-24T09:43:01+00:00;45.1;
2025-11-24T09:44:20+00:00;45.6;
2025-11-24T09:45:47+00:00;46.1;
2025-11-24T09:47:21+00:00;46.6;
2025-11-24T09:49:44+00:00;47.1;
2025-11-24T09:51:56+00:00;47.6;
2025-11-24T09:53:55+00:00;48.1;
2025-11-24T09:56:31+00:00;48.6;
2025-11-24T10:00:30+00:00;22.8;
2025-11-24T10:01:27+00:00;23.3;
2025-11-24T10:04:29+00:00;23.8;
2025-11-24T10:06:48+00:00;24.3;
2025-11-24T10:09:31+00:00;24.8;
2025-11-24T10:12:44+00:00;25.3;
2025-11-24T10:15:44+00:00;25.8;
2025-11-24T10:18:33+00:00;26.3;
2025-11-24T10:21:23+00:00;26.8;
2025-11-24T10:24:22+00:00;27.3;
2025-11-24T10:27:32+00:00;27.8;
2025-11-24T10:31:02+00:00;28.3;
2025-11-24T10:34:44+00:00;28.8;
2025-11-24T10:38:48+00:00;29.3;
2025-11-24T10:44:56+00:00;29.8;
2025-11-24T10:48:02+00:00;30.3;
2025-11-24T10:49:54+00:00;30.8;
2025-11-24T10:52:09+00:00;30.3;
2025-11-24T10:53:25+00:00;29.8;
2025-11-24T10:55:11+00:00;29.3;
2025-11-24T10:56:24+00:00;28.8;
2025-11-24T10:57:43+00:00;28.3;
2025-11-24T11:00:25+00:00;28.8;
2025-11-24T11:03:25+00:00;29.3;
2025-11-24T11:08:06+00:00;29.8;
2025-11-24T11:12:40+00:00;30.3;
2025-11-24T11:17:46+00:00;30.8;
2025-11-24T11:24:26+00:00;31.3;
2025-11-24T11:39:43+00:00;31.8;
2025-11-24T11:58:13+00:00;31.3;
2025-11-24T12:09:26+00:00;30.8;
