timestamp;[Dis­charge (BT14)][°C][40018];
2025-11-24T05:54:26+00:00;92.5;
2025-11-24T05:56:32+00:00;92.0;
2025-11-24T05:58:19+00:00;91.5;
2025-11-24T05:59:56+00:00;91.0;
2025-11-24T06:01:25+00:00;90.5;
2025-11-24T06:02:53+00:00;90.0;
2025-11-24T06:04:04+00:00;89.5;
2025-11-24T06:05:08+00:00;89.0;
2025-11-24T06:06:47+00:00;88.5;
2025-11-24T06:07:58+00:00;88.0;
2025-11-24T06:09:00+00:00;87.5;
2025-11-24T06:10:06+00:00;87.0;
2025-11-24T06:11:34+00:00;86.5;
2025-11-24T06:13:36+00:00;85.5;
2025-11-24T06:15:14+00:00;85.0;
2025-11-24T06:16:25+00:00;84.5;
2025-11-24T06:18:06+00:00;84.0;
2025-11-24T06:19:17+00:00;83.5;
2025-11-24T06:20:53+00:00;83.0;
2025-11-24T06:22:01+00:00;82.5;
2025-11-24T06:23:38+00:00;82.0;
2025-11-24T06:25:03+00:00;81.5;
2025-11-24T06:26:03+00:00;81.0;
2025-11-24T06:27:34+00:00;80.5;
2025-11-24T06:29:00+00:00;80.0;
2025-11-24T06:30:17+00:00;79.5;
2025-11-24T06:31:22+00:00;79.0;
2025-11-24T06:32:52+00:00;78.5;
2025-11-24T06:34:06+00:00;78.0;
2025-11-24T06:35:53+00:00;77.5;
2025-11-24T06:37:32+00:00;77.0;
2025-11-24T06:39:15+00:00;76.5;
2025-11-24T06:41:02+00:00;76.0;
2025-11-24T06:43:00+00:00;75.5;
2025-11-24T06:45:12+00:00;75.0;
2025-11-24T06:47:22+00:00;74.5;
2025-11-24T06:49:27+00:00;74.0;
2025-11-24T06:51:48+00:00;73.5;
2025-11-24T06:54:48+00:00;73.0;
2025-11-24T06:56:52+00:00;72.5;
2025-11-24T06:59:09+00:00;72.0;
2025-11-24T06:59:36+00:00;72.5;
2025-11-24T07:00:50+00:00;73.0;
2025-11-24T07:04:00+00:00;75.0;
2025-11-24T07:09:19+00:00;79.0;
2025-11-24T07:10:15+00:00;79.5;
2025-11-24T07:12:01+00:00;80.5;
2025-11-24T07:13:11+00:00;81.0;
2025-11-24T07:14:26+00:00;81.5;
2025-11-24T07:15:28+00:00;82.0;
2025-11-24T07:17:07+00:00;82.5;
2025-11-24T07:18:38+00:00;83.0;
2025-11-24T07:19:43+00:00;83.5;
2025-11-24T07:21:25+00:00;84.0;
2025-11-24T07:22:33+00:00;84.5;
2025-11-24T07:24:16+00:00;85.0;
2025-11-24T07:25:26+00:00;85.5;
2025-11-24T07:26:35+00:00;86.0;
2025-11-24T07:28:08+00:00;86.5;
2025-11-24T07:29:20+00:00;87.0;
2025-11-24T07:30:24+00:00;87.5;
2025-11-24T07:34:36+00:00;82.0;
2025-11-24T07:39:13+00:00;75.5;
2025-11-24T07:43:08+00:00;72.5;
2025-11-24T07:44:12+00:00;72.0;
2025-11-24T07:45:52+00:00;71.5;
2025-11-24T07:49:00+00:00;71.0;
2025-11-24T07:54:06+00:00;71.5;
2025-11-24T07:55:46+00:00;72.0;
2025-11-24T07:57:05+00:00;72.5;
2025-11-24T07:59:40+00:00;73.5;
2025-11-24T08:01:41+00:00;73.0;
2025-11-24T08:05:12+00:00;74.5;
2025-11-24T08:09:47+00:00;74.5;
2025-11-24T08:09:48+00:00;81.5;
2025-11-24T08:14:00+00:00;84.5;
2025-11-24T08:15:27+00:00;85.0;
2025-11-24T08:17:04+00:00;85.5;
2025-11-24T08:19:11+00:00;86.0;
2025-11-24T08:28:11+00:00;86.5;
2025-11-24T08:31:25+00:00;87.0;
2025-11-24T08:35:22+00:00;87.5;
2025-11-24T08:40:23+00:00;76.9;
2025-11-24T08:45:08+00:00;60.3;
2025-11-24T08:46:12+00:00;59.8;
2025-11-24T08:49:27+00:00;58.8;
2025-11-24T08:52:02+00:00;58.3;
2025-11-24T08:54:55+00:00;57.8;
2025-11-24T08:57:01+00:00;57.3;
2025-11-24T08:59:04+00:00;56.8;
2025-11-24T09:01:26+00:00;56.3;
2025-11-24T09:03:21+00:00;55.8;
2025-11-24T09:05:39+00:00;55.3;
2025-11-24T09:10:01+00:00;55.3;
2025-11-24T09:10:02+00:00;74.3;
2025-11-24T09:14:49+00:00;74.3;
2025-11-24T09:14:50+00:00;81.8;
2025-11-24T09:19:56+00:00;86.3;
2025-11-24T09:20:37+00:00;86.8;
2025-11-24T09:23:46+00:00;88.3;
2025-11-24T09:24:51+00:00;88.8;
2025-11-24T09:26:06+00:00;89.3;
2025-11-24T09:28:23+00:00;89.8;
2025-11-24T09:32:39+00:00;90.3;
2025-11-24T09:34:35+00:00;90.8;
2025-11-24T09:36:22+00:00;91.3;
2025-11-24T09:37:59+00:00;91.8;
2025-11-24T09:39:40+00:00;92.3;
2025-11-24T09:41:21+00:00;92.8;
2025-11-24T09:42:59+00:00;93.3;
2025-11-24T09:44:32+00:00;93.8;
2025-11-24T09:46:09+00:00;94.3;
2025-11-24T09:47:47+00:00;94.8;
2025-11-24T09:49:43+00:00;95.3;
2025-11-24T09:52:09+00:00;96.3;
2025-11-24T09:53:56+00:00;96.8;
2025-11-24T09:55:49+00:00;97.3;
2025-11-24T09:57:28+00:00;97.8;
2025-11-24T10:00:38+00:00;92.8;
2025-11-24T10:05:30+00:00;81.3;
2025-11-24T10:09:25+00:00;77.3;
2025-11-24T10:10:31+00:00;76.8;
2025-11-24T10:12:18+00:00;76.3;
2025-11-24T10:17:01+00:00;76.8;
2025-11-24T10:18:31+00:00;77.3;
2025-11-24T10:19:44+00:00;77.8;
2025-11-24T10:20:48+00:00;78.3;
2025-11-24T10:25:49+00:00;81.3;
2025-11-24T10:30:22+00:00;84.3;
2025-11-24T10:33:04+00:00;85.8;
2025-11-24T10:34:29+00:00;86.3;
2025-11-24T10:35:36+00:00;86.8;
2025-11-24T10:37:13+00:00;87.3;
2025-11-24T10:38:26+00:00;87.8;
2025-11-24T10:39:59+00:00;88.3;
2025-11-24T10:41:42+00:00;88.8;
2025-11-24T10:44:35+00:00;89.3;
2025-11-24T10:51:19+00:00;75.7;
2025-11-24T10:56:31+00:00;66.0;
2025-11-24T11:01:31+00:00;66.0;
2025-11-24T11:01:32+00:00;84.1;
2025-11-24T11:02:50+00:00;85.1;
2025-11-24T11:05:22+00:00;86.6;
2025-11-24T11:07:43+00:00;87.6;
2025-11-24T11:08:43+00:00;88.1;
2025-11-24T11:10:01+00:00;88.6;
2025-11-24T11:12:53+00:00;89.1;
2025-11-24T11:15:34+00:00;89.6;
2025-11-24T11:25:53+00:00;89.1;
2025-11-24T11:28:20+00:00;88.6;
2025-11-24T11:30:09+00:00;88.1;
2025-11-24T11:32:38+00:00;87.6;
2025-11-24T11:34:00+00:00;87.1;
2025-11-24T11:35:20+00:00;86.6;
2025-11-24T11:37:05+00:00;86.1;
2025-11-24T11:38:08+00:00;85.6;
2025-11-24T11:39:08+00:00;85.1;
