timestamp;[Suction gas (BT17)][°C][40022];
2025-11-24T17:22:58+00:00;3.3;
2025-11-24T17:24:21+00:00;3.8;
2025-11-24T17:25:04+00:00;4.8;
2025-11-24T17:28:48+00:00;4.3;
2025-11-24T17:30:38+00:00;3.3;
2025-11-24T17:32:07+00:00;2.8;
2025-11-24T17:38:36+00:00;2.8;
2025-11-24T17:39:45+00:00;3.3;
2025-11-24T17:46:33+00:00;4.3;
2025-11-24T17:48:10+00:00;4.8;
2025-11-24T17:52:30+00:00;4.3;
2025-11-24T17:58:46+00:00;4.3;
2025-11-24T17:59:48+00:00;3.8;
2025-11-24T18:01:28+00:00;3.8;
2025-11-24T18:04:04+00:00;5.8;
2025-11-24T18:09:03+00:00;5.8;
2025-11-24T18:09:04+00:00;14.8;
2025-11-24T18:13:57+00:00;4.7;
2025-11-24T18:15:12+00:00;4.7;
2025-11-24T18:23:55+00:00;5.2;
2025-11-24T18:48:46+00:00;5.7;
2025-11-24T18:50:05+00:00;6.2;
2025-11-24T18:53:37+00:00;6.7;
2025-11-24T18:56:38+00:00;7.2;
2025-11-24T18:59:39+00:00;8.2;
2025-11-24T19:00:50+00:00;11.2;
2025-11-24T19:03:09+00:00;12.7;
2025-11-24T19:05:08+00:00;13.2;
2025-11-24T19:07:30+00:00;12.7;
2025-11-24T19:11:53+00:00;12.2;
2025-11-24T19:15:40+00:00;11.7;
2025-11-24T19:18:45+00:00;11.2;
2025-11-24T19:20:31+00:00;10.7;
2025-11-24T19:23:11+00:00;10.2;
2025-11-24T19:26:16+00:00;9.7;
2025-11-24T19:27:34+00:00;9.2;
2025-11-24T19:30:23+00:00;8.7;
2025-11-24T19:33:39+00:00;8.2;
2025-11-24T19:36:46+00:00;7.7;
2025-11-24T19:38:42+00:00;7.2;
2025-11-24T19:41:18+00:00;6.7;
2025-11-24T19:43:29+00:00;6.2;
2025-11-24T19:47:32+00:00;5.7;
2025-11-24T19:50:11+00:00;5.2;
2025-11-24T19:53:32+00:00;4.7;
2025-11-24T19:56:38+00:00;4.2;
2025-11-24T19:59:37+00:00;3.7;
2025-11-24T20:02:07+00:00;3.2;
2025-11-24T20:05:01+00:00;2.7;
2025-11-24T20:07:35+00:00;2.2;
2025-11-24T20:12:42+00:00;1.7;
2025-11-24T20:45:07+00:00;1.7;
2025-11-24T20:45:08+00:00;11.7;
2025-11-24T20:45:20+00:00;11.2;
2025-11-24T20:50:23+00:00;3.9;
2025-11-24T20:54:55+00:00;2.8;
2025-11-24T20:56:04+00:00;1.8;
2025-11-24T21:11:03+00:00;2.3;
2025-11-24T21:19:26+00:00;1.8;
2025-11-24T21:56:42+00:00;1.3;
2025-11-24T22:01:04+00:00;1.3;
2025-11-24T22:01:05+00:00;8.8;
2025-11-24T22:06:15+00:00;11.2;
2025-11-24T22:10:43+00:00;1.6;
2025-11-24T22:11:36+00:00;2.6;
2025-11-24T22:22:32+00:00;2.1;
2025-11-24T22:25:22+00:00;1.6;
2025-11-24T22:29:05+00:00;2.1;
2025-11-24T22:57:55+00:00;1.6;
2025-11-24T23:09:19+00:00;1.1;
2025-11-24T23:17:08+00:00;1.1;
2025-11-24T23:17:09+00:00;9.2;
2025-11-24T23:22:14+00:00;6.4;
2025-11-24T23:27:13+00:00;2.1;
2025-11-24T23:28:41+00:00;1.6;
2025-11-24T23:40:32+00:00;2.1;
2025-11-24T23:56:27+00:00;1.6;
2025-11-25T00:30:09+00:00;1.1;
2025-11-25T00:36:55+00:00;1.1;
2025-11-25T00:36:56+00:00;11.1;
2025-11-25T00:42:04+00:00;8.2;
2025-11-25T00:46:27+00:00;2.7;
2025-11-25T00:47:29+00:00;2.2;
2025-11-25T00:57:24+00:00;1.2;
2025-11-25T00:57:49+00:00;0.7;
2025-11-25T01:00:11+00:00;2.2;
2025-11-25T01:59:20+00:00;1.7;
2025-11-25T02:03:30+00:00;4.8;
2025-11-25T02:08:31+00:00;4.8;
2025-11-25T02:08:32+00:00;19.3;
2025-11-25T02:13:02+00:00;4.6;
2025-11-25T02:15:26+00:00;3.1;
2025-11-25T02:26:33+00:00;1.1;
2025-11-25T02:30:11+00:00;2.6;
2025-11-25T02:31:57+00:00;2.1;
2025-11-25T03:20:20+00:00;1.6;
2025-11-25T03:28:26+00:00;1.6;
2025-11-25T03:28:27+00:00;12.1;
2025-11-25T03:30:30+00:00;12.1;
2025-11-25T03:30:31+00:00;19.3;
2025-11-25T03:33:28+00:00;8.7;
2025-11-25T03:37:31+00:00;2.7;
2025-11-25T03:48:51+00:00;1.2;
2025-11-25T03:52:23+00:00;2.2;
2025-11-25T04:01:52+00:00;3.7;
2025-11-25T04:05:33+00:00;4.7;
2025-11-25T04:08:51+00:00;5.2;
2025-11-25T04:09:37+00:00;5.7;
2025-11-25T04:13:57+00:00;6.7;
2025-11-25T04:16:17+00:00;4.1;
2025-11-25T04:18:41+00:00;3.6;
2025-11-25T04:21:36+00:00;1.6;
2025-11-25T04:30:10+00:00;1.1;
2025-11-25T04:33:11+00:00;2.1;
2025-11-25T04:48:30+00:00;1.6;
2025-11-25T04:54:51+00:00;1.6;
2025-11-25T04:54:52+00:00;12.1;
2025-11-25T04:59:48+00:00;9.0;
2025-11-25T05:03:58+00:00;2.9;
2025-11-25T05:05:46+00:00;2.4;
2025-11-25T05:14:58+00:00;1.4;
2025-11-25T05:15:27+00:00;0.9;
2025-11-25T05:18:12+00:00;1.9;
2025-11-25T05:19:36+00:00;2.4;
2025-11-25T05:24:50+00:00;1.9;
2025-11-25T06:09:48+00:00;1.9;
2025-11-25T06:09:49+00:00;15.1;
2025-11-25T06:14:51+00:00;9.6;
2025-11-25T06:16:40+00:00;4.3;
2025-11-25T06:17:48+00:00;3.8;
Tue Nov 25 2025 07:20:33 GMT+0100 (Central European Standard Time);3.8;
