timestamp;[Exhaust air (AZ30-BT20)][°C][40025];
2025-11-19T16:02:19+00:00;23.3;
2025-11-19T16:18:08+00:00;22.8;
2025-11-19T16:42:11+00:00;22.3;
2025-11-19T17:02:00+00:00;21.8;
2025-11-19T18:09:49+00:00;21.3;
2025-11-19T22:10:24+00:00;21.8;
2025-11-19T22:35:54+00:00;21.3;
2025-11-20T06:55:36+00:00;21.8;
2025-11-20T08:16:39+00:00;21.3;
2025-11-20T12:12:15+00:00;21.8;
2025-11-20T12:22:24+00:00;22.3;
2025-11-20T12:40:25+00:00;22.8;
2025-11-20T14:57:13+00:00;23.3;
2025-11-20T15:53:46+00:00;23.8;
2025-11-20T16:17:09+00:00;23.3;
2025-11-20T16:28:17+00:00;22.8;
2025-11-20T16:37:17+00:00;22.3;
2025-11-20T17:41:48+00:00;21.8;
2025-11-20T18:31:22+00:00;21.3;
2025-11-20T19:28:42+00:00;21.8;
2025-11-20T20:16:35+00:00;21.3;
Fri Nov 21 2025 08:48:53 GMT+0100 (Central European Standard Time);21.3;
