timestamp;[Current com­pressor fre­quency][Hz][41778];
2025-11-04T03:04:22+00:00;38;
2025-11-04T03:05:22+00:00;39;
2025-11-04T03:11:22+00:00;37;
2025-11-04T03:14:23+00:00;36;
2025-11-04T03:18:22+00:00;34;
2025-11-04T03:24:44+00:00;32;
2025-11-04T03:26:43+00:00;32;
2025-11-04T03:29:43+00:00;30;
2025-11-04T03:32:43+00:00;28;
2025-11-04T03:34:44+00:00;27;
2025-11-04T03:40:43+00:00;25;
2025-11-04T03:41:43+00:00;24;
2025-11-04T03:45:42+00:00;22;
2025-11-04T03:50:42+00:00;20;
2025-11-04T04:00:37+00:00;20;
2025-11-04T04:00:38+00:00;90;
2025-11-04T04:16:48+00:00;80;
2025-11-04T04:18:30+00:00;20;
2025-11-04T06:28:48+00:00;0;
2025-11-04T10:07:10+00:00;0;
2025-11-04T10:07:11+00:00;65;
2025-11-04T10:26:51+00:00;1;
2025-11-04T13:34:34+00:00;1;
2025-11-04T13:34:35+00:00;65;
2025-11-04T13:50:06+00:00;38;
2025-11-04T13:50:25+00:00;0;
2025-11-04T14:12:06+00:00;0;
2025-11-04T14:12:07+00:00;85;
2025-11-04T14:16:28+00:00;80;
2025-11-04T14:20:40+00:00;0;
2025-11-04T16:42:30+00:00;0;
2025-11-04T16:42:31+00:00;90;
2025-11-04T17:00:42+00:00;0;
2025-11-04T17:09:09+00:00;0;
2025-11-04T17:09:10+00:00;90;
2025-11-04T17:42:11+00:00;51;
2025-11-04T17:42:43+00:00;0;
2025-11-04T19:13:54+00:00;0;
2025-11-04T19:13:55+00:00;84;
2025-11-04T19:21:55+00:00;74;
2025-11-04T19:27:39+00:00;0;
2025-11-04T22:29:43+00:00;0;
2025-11-04T22:29:44+00:00;90;
2025-11-04T22:46:05+00:00;0;
2025-11-05T00:08:29+00:00;0;
2025-11-05T00:08:30+00:00;20;
2025-11-05T00:24:04+00:00;21;
2025-11-05T00:27:06+00:00;23;
2025-11-05T00:32:04+00:00;25;
2025-11-05T00:46:04+00:00;26;
2025-11-05T00:56:04+00:00;24;
2025-11-05T00:59:04+00:00;23;
2025-11-05T01:03:04+00:00;22;
2025-11-05T01:07:09+00:00;20;
2025-11-05T04:15:16+00:00;20;
2025-11-05T05:53:48+00:00;1;
2025-11-05T14:00:57+00:00;1;
2025-11-05T14:00:58+00:00;90;
2025-11-05T14:44:18+00:00;80;
2025-11-05T14:57:00+00:00;0;
2025-11-05T17:01:57+00:00;0;
