timestamp;[Fram­led­ning (BT2)][°C][40008];
2025-11-25T16:53:38+00:00;52.5;
2025-11-25T16:56:39+00:00;53.0;
2025-11-25T17:01:30+00:00;51.0;
2025-11-25T17:04:35+00:00;50.5;
2025-11-25T17:08:36+00:00;51.0;
2025-11-25T17:10:02+00:00;52.0;
2025-11-25T17:12:52+00:00;52.0;
2025-11-25T17:16:05+00:00;52.5;
2025-11-25T17:17:30+00:00;53.0;
2025-11-25T17:26:12+00:00;52.0;
2025-11-25T17:28:09+00:00;52.5;
2025-11-25T17:29:52+00:00;53.0;
2025-11-25T17:32:41+00:00;53.5;
2025-11-25T17:39:21+00:00;54.0;
2025-11-25T17:40:40+00:00;54.5;
2025-11-25T17:41:56+00:00;55.0;
2025-11-25T17:44:22+00:00;43.8;
2025-11-25T17:45:45+00:00;25.6;
2025-11-25T17:47:28+00:00;26.6;
2025-11-25T17:58:35+00:00;27.1;
2025-11-25T18:04:05+00:00;27.6;
2025-11-25T18:10:11+00:00;28.1;
2025-11-25T18:18:05+00:00;28.6;
2025-11-25T18:25:00+00:00;29.1;
Tue Nov 25 2025 19:32:37 GMT+0100 (centraleuropeisk normaltid);29.1;
