timestamp;[Supply line (BT2)][°C][40008];
2025-11-04T17:02:37+00:00;23.4;
2025-11-04T17:17:00+00:00;23.4;
2025-11-04T17:17:01+00:00;52.0;
2025-11-04T17:21:22+00:00;53.5;
2025-11-04T17:26:55+00:00;51.5;
2025-11-04T17:27:47+00:00;51.0;
2025-11-04T17:34:25+00:00;53.5;
2025-11-04T17:38:37+00:00;54.5;
2025-11-04T17:42:06+00:00;55.5;
2025-11-04T17:48:43+00:00;23.9;
2025-11-04T18:06:17+00:00;22.9;
2025-11-04T18:36:16+00:00;22.9;
2025-11-04T18:36:17+00:00;38.9;
2025-11-04T18:46:09+00:00;38.9;
2025-11-04T18:46:10+00:00;51.9;
2025-11-04T18:53:00+00:00;52.9;
2025-11-04T19:21:21+00:00;53.9;
2025-11-04T19:24:39+00:00;54.9;
2025-11-04T19:31:52+00:00;24.2;
2025-11-04T19:49:00+00:00;22.7;
2025-11-04T22:15:01+00:00;21.7;
2025-11-04T22:33:37+00:00;21.7;
2025-11-04T22:33:38+00:00;49.8;
2025-11-04T22:37:48+00:00;53.3;
2025-11-04T22:41:29+00:00;54.3;
2025-11-04T22:43:52+00:00;55.3;
2025-11-04T22:48:44+00:00;22.3;
2025-11-04T22:51:55+00:00;23.3;
2025-11-04T23:17:00+00:00;22.3;
2025-11-05T00:11:15+00:00;24.3;
2025-11-05T00:14:36+00:00;25.3;
2025-11-05T00:21:03+00:00;26.3;
2025-11-05T00:24:21+00:00;26.8;
2025-11-05T00:32:56+00:00;28.3;
2025-11-05T00:41:06+00:00;29.3;
2025-11-05T00:44:03+00:00;28.3;
2025-11-05T00:44:34+00:00;27.8;
2025-11-05T00:57:18+00:00;29.8;
2025-11-05T01:04:23+00:00;28.3;
2025-11-05T01:24:38+00:00;30.8;
2025-11-05T01:29:11+00:00;29.3;
2025-11-05T01:41:18+00:00;30.3;
2025-11-05T01:47:40+00:00;28.8;
2025-11-05T02:01:43+00:00;30.8;
2025-11-05T02:14:26+00:00;29.3;
2025-11-05T02:29:07+00:00;30.8;
2025-11-05T02:31:06+00:00;29.3;
2025-11-05T02:36:45+00:00;30.3;
2025-11-05T02:41:40+00:00;30.8;
2025-11-05T02:46:04+00:00;28.8;
2025-11-05T02:55:05+00:00;27.3;
2025-11-05T02:58:12+00:00;26.3;
2025-11-05T03:10:54+00:00;25.3;
2025-11-05T03:15:27+00:00;24.8;
2025-11-05T03:50:33+00:00;23.3;
2025-11-05T04:12:11+00:00;22.8;
2025-11-05T04:20:42+00:00;25.3;
2025-11-05T04:27:52+00:00;26.3;
2025-11-05T04:37:11+00:00;27.3;
2025-11-05T04:51:28+00:00;28.3;
2025-11-05T05:02:29+00:00;28.3;
2025-11-05T05:15:34+00:00;29.3;
2025-11-05T05:36:06+00:00;29.8;
2025-11-05T05:43:44+00:00;30.3;
2025-11-05T05:49:12+00:00;29.8;
2025-11-05T05:59:05+00:00;27.8;
2025-11-05T06:08:32+00:00;26.3;
2025-11-05T06:12:23+00:00;25.8;
2025-11-05T06:26:28+00:00;24.8;
2025-11-05T06:43:41+00:00;23.8;
2025-11-05T07:22:13+00:00;22.8;
2025-11-05T09:55:52+00:00;21.8;
2025-11-05T13:41:27+00:00;21.3;
2025-11-05T14:06:28+00:00;21.3;
2025-11-05T14:06:29+00:00;40.4;
2025-11-05T14:12:17+00:00;40.4;
2025-11-05T14:12:18+00:00;52.4;
2025-11-05T14:19:44+00:00;52.9;
2025-11-05T14:37:30+00:00;52.4;
2025-11-05T14:42:02+00:00;53.4;
2025-11-05T14:49:13+00:00;53.9;
2025-11-05T14:52:52+00:00;54.9;
2025-11-05T14:59:26+00:00;22.4;
2025-11-05T15:01:09+00:00;23.9;
2025-11-05T15:49:45+00:00;21.9;
2025-11-05T17:05:16+00:00;21.9;
2025-11-05T17:05:17+00:00;44.5;
2025-11-05T17:09:46+00:00;44.5;
2025-11-05T17:09:47+00:00;52.0;
2025-11-05T17:15:06+00:00;53.5;
2025-11-05T17:22:40+00:00;50.0;
2025-11-05T17:25:36+00:00;50.5;
2025-11-05T17:30:24+00:00;53.0;
2025-11-05T17:32:41+00:00;53.5;
2025-11-05T17:42:01+00:00;54.5;
2025-11-05T17:46:27+00:00;22.3;
2025-11-05T18:06:24+00:00;22.3;
2025-11-05T18:41:24+00:00;22.3;
2025-11-05T18:41:25+00:00;42.8;
2025-11-05T18:48:39+00:00;42.8;
2025-11-05T18:48:40+00:00;52.8;
2025-11-05T18:58:15+00:00;54.3;
2025-11-05T19:00:17+00:00;55.3;
2025-11-05T19:04:36+00:00;22.6;
2025-11-05T19:08:56+00:00;23.6;
2025-11-05T19:48:07+00:00;22.1;
2025-11-05T22:53:31+00:00;21.1;
2025-11-05T23:12:18+00:00;22.6;
2025-11-05T23:16:41+00:00;23.6;
2025-11-05T23:21:52+00:00;24.6;
2025-11-05T23:28:50+00:00;25.6;
2025-11-05T23:33:16+00:00;25.6;
2025-11-05T23:36:46+00:00;26.6;
2025-11-05T23:39:05+00:00;27.1;
2025-11-05T23:42:48+00:00;28.1;
2025-11-05T23:47:23+00:00;27.6;
2025-11-05T23:50:07+00:00;28.6;
2025-11-05T23:57:38+00:00;30.1;
2025-11-06T00:00:57+00:00;31.1;
2025-11-06T00:03:05+00:00;31.6;
2025-11-06T00:06:28+00:00;32.6;
2025-11-06T00:11:02+00:00;33.6;
2025-11-06T00:12:54+00:00;32.6;
2025-11-06T00:16:02+00:00;33.6;
2025-11-06T00:20:30+00:00;34.6;
2025-11-06T00:24:16+00:00;35.6;
2025-11-06T00:30:53+00:00;34.6;
2025-11-06T00:33:19+00:00;35.6;
2025-11-06T00:42:09+00:00;37.1;
2025-11-06T00:45:02+00:00;37.6;
2025-11-06T00:49:11+00:00;38.6;
2025-11-06T00:54:00+00:00;38.1;
2025-11-06T00:57:30+00:00;39.1;
2025-11-06T01:00:22+00:00;35.1;
2025-11-06T01:04:39+00:00;33.1;
2025-11-06T01:06:47+00:00;37.6;
2025-11-06T01:10:55+00:00;38.6;
2025-11-06T01:14:34+00:00;37.1;
2025-11-06T01:17:47+00:00;38.6;
2025-11-06T01:22:02+00:00;39.6;
2025-11-06T01:29:51+00:00;40.6;
2025-11-06T01:34:50+00:00;41.6;
2025-11-06T01:39:06+00:00;35.0;
2025-11-06T01:41:58+00:00;34.5;
2025-11-06T01:46:08+00:00;33.0;
2025-11-06T01:49:59+00:00;32.0;
2025-11-06T01:52:02+00:00;31.5;
2025-11-06T01:56:51+00:00;30.5;
2025-11-06T01:59:31+00:00;30.0;
2025-11-06T02:02:24+00:00;29.0;
2025-11-06T02:13:01+00:00;27.5;
2025-11-06T02:17:50+00:00;27.0;
2025-11-06T02:28:21+00:00;26.0;
2025-11-06T02:35:45+00:00;25.5;
2025-11-06T03:03:54+00:00;24.0;
2025-11-06T03:14:27+00:00;27.5;
2025-11-06T03:16:42+00:00;28.5;
2025-11-06T03:18:13+00:00;29.0;
2025-11-06T03:22:10+00:00;30.0;
2025-11-06T03:25:17+00:00;31.0;
2025-11-06T03:28:59+00:00;32.0;
2025-11-06T03:32:44+00:00;30.5;
2025-11-06T03:34:08+00:00;31.0;
2025-11-06T03:40:46+00:00;32.0;
2025-11-06T03:55:10+00:00;32.0;
2025-11-06T04:01:23+00:00;32.0;
2025-11-06T04:01:24+00:00;48.0;
2025-11-06T04:04:05+00:00;52.0;
2025-11-06T04:07:19+00:00;53.5;
2025-11-06T04:11:28+00:00;55.0;
2025-11-06T04:13:31+00:00;55.5;
2025-11-06T04:17:51+00:00;29.3;
2025-11-06T04:19:29+00:00;30.3;
2025-11-06T04:34:44+00:00;29.8;
2025-11-06T04:35:08+00:00;29.3;
2025-11-06T04:39:41+00:00;28.3;
2025-11-06T04:41:39+00:00;27.3;
2025-11-06T04:59:35+00:00;25.8;
2025-11-06T05:11:47+00:00;24.8;
2025-11-06T05:36:55+00:00;23.8;
2025-11-06T05:48:37+00:00;23.3;
2025-11-06T07:18:34+00:00;22.3;
2025-11-06T13:32:29+00:00;21.3;
2025-11-06T14:03:55+00:00;21.3;
2025-11-06T14:03:56+00:00;26.8;
2025-11-06T14:13:23+00:00;26.8;
2025-11-06T14:13:24+00:00;51.8;
2025-11-06T14:21:13+00:00;51.8;
2025-11-06T14:28:02+00:00;52.8;
2025-11-06T14:29:29+00:00;52.3;
2025-11-06T14:36:24+00:00;52.8;
2025-11-06T14:39:10+00:00;52.8;
2025-11-06T15:01:10+00:00;22.4;
2025-11-06T15:09:41+00:00;22.4;
2025-11-06T15:09:42+00:00;50.3;
2025-11-06T15:13:27+00:00;52.3;
2025-11-06T15:14:56+00:00;52.8;
2025-11-06T15:26:58+00:00;53.8;
2025-11-06T15:32:45+00:00;55.3;
2025-11-06T15:37:48+00:00;22.8;
2025-11-06T15:38:54+00:00;23.3;
2025-11-06T15:58:49+00:00;22.3;
2025-11-06T16:39:38+00:00;22.3;
2025-11-06T16:39:39+00:00;41.9;
2025-11-06T16:47:05+00:00;41.9;
2025-11-06T16:47:06+00:00;52.9;
2025-11-06T16:52:34+00:00;53.9;
2025-11-06T17:00:05+00:00;50.4;
2025-11-06T17:04:45+00:00;51.9;
2025-11-06T17:10:59+00:00;54.4;
2025-11-06T17:14:27+00:00;22.9;
2025-11-06T17:26:03+00:00;22.4;
2025-11-06T20:37:35+00:00;21.4;
2025-11-06T22:53:14+00:00;22.4;
2025-11-06T22:57:53+00:00;23.4;
2025-11-06T23:01:36+00:00;23.9;
2025-11-06T23:08:33+00:00;24.9;
2025-11-06T23:13:56+00:00;25.9;
2025-11-06T23:20:42+00:00;26.9;
2025-11-06T23:24:26+00:00;27.9;
2025-11-06T23:28:35+00:00;28.9;
2025-11-06T23:32:28+00:00;28.9;
2025-11-06T23:36:51+00:00;29.9;
2025-11-06T23:38:51+00:00;30.4;
2025-11-06T23:49:50+00:00;31.9;
2025-11-06T23:51:00+00:00;32.4;
2025-11-06T23:56:21+00:00;33.4;
2025-11-07T00:02:17+00:00;34.4;
2025-11-07T00:07:02+00:00;35.4;
2025-11-07T00:13:41+00:00;34.4;
2025-11-07T00:15:45+00:00;35.4;
2025-11-07T00:23:26+00:00;35.4;
2025-11-07T00:45:31+00:00;34.9;
2025-11-07T01:08:28+00:00;32.9;
2025-11-07T01:15:25+00:00;31.9;
2025-11-07T01:42:42+00:00;30.4;
2025-11-07T01:45:11+00:00;30.9;
2025-11-07T02:25:48+00:00;29.9;
2025-11-07T02:35:07+00:00;30.4;
2025-11-07T03:29:30+00:00;29.9;
2025-11-07T03:55:25+00:00;29.9;
2025-11-07T04:03:55+00:00;29.9;
2025-11-07T04:03:56+00:00;50.2;
2025-11-07T04:08:39+00:00;53.2;
2025-11-07T04:11:39+00:00;53.7;
2025-11-07T04:16:55+00:00;55.2;
2025-11-07T04:22:47+00:00;28.4;
2025-11-07T04:25:59+00:00;27.4;
2025-11-07T04:28:41+00:00;26.9;
2025-11-07T04:33:00+00:00;26.4;
2025-11-07T04:44:32+00:00;25.4;
2025-11-07T05:15:59+00:00;23.9;
2025-11-07T06:10:54+00:00;22.9;
2025-11-07T09:26:23+00:00;21.9;
2025-11-07T14:03:30+00:00;21.9;
2025-11-07T14:03:31+00:00;40.4;
2025-11-07T14:08:31+00:00;40.4;
2025-11-07T14:08:32+00:00;50.4;
2025-11-07T14:11:57+00:00;52.9;
2025-11-07T14:30:21+00:00;53.9;
2025-11-07T14:35:59+00:00;55.4;
2025-11-07T14:38:50+00:00;25.4;
2025-11-07T14:45:02+00:00;22.9;
2025-11-07T16:00:05+00:00;21.9;
2025-11-07T17:02:34+00:00;21.9;
2025-11-07T17:02:35+00:00;36.7;
2025-11-07T17:10:41+00:00;36.7;
2025-11-07T17:10:42+00:00;52.2;
2025-11-07T17:18:19+00:00;52.2;
2025-11-07T17:28:33+00:00;53.2;
2025-11-07T17:29:43+00:00;52.7;
2025-11-07T17:51:38+00:00;53.7;
2025-11-07T17:57:27+00:00;55.2;
2025-11-07T18:02:49+00:00;22.6;
2025-11-07T18:04:07+00:00;23.1;
