timestamp;[Con­denser (BT12)][°C][40017];
2025-11-24T06:53:05+00:00;35.5;
2025-11-24T06:59:14+00:00;35.0;
2025-11-24T07:04:19+00:00;35.0;
2025-11-24T07:04:20+00:00;46.5;
2025-11-24T07:06:29+00:00;49.0;
2025-11-24T07:08:18+00:00;49.0;
2025-11-24T07:10:00+00:00;49.5;
2025-11-24T07:12:31+00:00;50.0;
2025-11-24T07:14:55+00:00;49.5;
2025-11-24T07:19:13+00:00;50.0;
2025-11-24T07:34:36+00:00;31.7;
2025-11-24T07:42:04+00:00;32.2;
2025-11-24T07:47:19+00:00;32.7;
2025-11-24T07:53:59+00:00;33.2;
2025-11-24T07:57:11+00:00;33.7;
2025-11-24T08:00:10+00:00;33.7;
2025-11-24T08:05:11+00:00;33.7;
2025-11-24T08:05:12+00:00;41.7;
2025-11-24T08:08:24+00:00;41.7;
2025-11-24T08:08:25+00:00;48.7;
2025-11-24T08:09:37+00:00;49.7;
2025-11-24T08:10:27+00:00;49.2;
2025-11-24T08:17:48+00:00;48.7;
2025-11-24T08:19:15+00:00;49.2;
2025-11-24T08:21:24+00:00;49.2;
2025-11-24T08:24:54+00:00;49.2;
2025-11-24T08:30:10+00:00;48.7;
2025-11-24T08:34:49+00:00;48.7;
2025-11-24T08:36:39+00:00;49.2;
2025-11-24T08:40:10+00:00;25.0;
2025-11-24T08:45:39+00:00;24.5;
2025-11-24T08:49:05+00:00;24.5;
2025-11-24T08:49:06+00:00;31.8;
2025-11-24T08:49:37+00:00;32.3;
2025-11-24T08:50:55+00:00;32.8;
2025-11-24T08:55:13+00:00;33.3;
2025-11-24T09:00:36+00:00;33.8;
2025-11-24T09:09:55+00:00;33.8;
2025-11-24T09:09:56+00:00;41.2;
2025-11-24T09:14:40+00:00;41.2;
2025-11-24T09:14:41+00:00;48.7;
2025-11-24T09:16:36+00:00;49.2;
2025-11-24T09:18:21+00:00;49.7;
2025-11-24T09:27:56+00:00;49.2;
