timestamp;[Oper. time][hrs][43420];
2025-11-09T07:33:35+00:00;11689;
2025-11-09T08:33:56+00:00;11690;
2025-11-09T09:33:17+00:00;11691;
2025-11-09T17:02:24+00:00;11692;
2025-11-09T19:40:26+00:00;11693;
2025-11-09T20:39:47+00:00;11694;
2025-11-09T21:48:07+00:00;11695;
2025-11-09T22:48:28+00:00;11696;
2025-11-09T23:47:49+00:00;11697;
2025-11-10T00:48:10+00:00;11698;
2025-11-10T01:48:31+00:00;11699;
2025-11-10T02:47:52+00:00;11700;
2025-11-10T03:48:13+00:00;11701;
2025-11-10T04:47:34+00:00;11702;
2025-11-10T08:08:00+00:00;11702;
2025-11-10T12:37:06+00:00;11703;
2025-11-10T14:20:12+00:00;11704;
2025-11-10T17:42:28+00:00;11705;
2025-11-10T18:50:33+00:00;11706;
2025-11-10T19:49:54+00:00;11707;
2025-11-10T20:50:15+00:00;11708;
2025-11-10T21:49:35+00:00;11709;
2025-11-10T22:49:56+00:00;11710;
2025-11-10T23:50:17+00:00;11711;
2025-11-11T00:49:38+00:00;11712;
2025-11-11T01:49:59+00:00;11713;
2025-11-11T02:50:20+00:00;11714;
2025-11-11T03:49:41+00:00;11715;
2025-11-11T05:03:38+00:00;11716;
2025-11-11T07:38:12+00:00;11717;
2025-11-11T08:38:33+00:00;11718;
2025-11-11T09:37:54+00:00;11719;
2025-11-11T10:38:15+00:00;11720;
2025-11-11T11:38:36+00:00;11721;
2025-11-11T17:11:37+00:00;11722;
2025-11-11T18:27:09+00:00;11723;
2025-11-11T19:27:30+00:00;11724;
2025-11-11T20:26:51+00:00;11725;
2025-11-11T21:42:45+00:00;11726;
2025-11-12T04:18:31+00:00;11727;
2025-11-12T05:17:52+00:00;11728;
2025-11-12T06:18:13+00:00;11729;
Wed Nov 12 2025 09:23:14 GMT+0100 (Central European Standard Time);11729;
