timestamp;[Evap­orator (BT16)][°C][40020];
2025-11-25T04:33:51+00:00;-16.4;
2025-11-25T04:35:23+00:00;-15.9;
2025-11-25T04:50:08+00:00;-16.4;
2025-11-25T04:54:12+00:00;-16.4;
2025-11-25T04:54:13+00:00;-0.9;
2025-11-25T04:59:57+00:00;-8.6;
2025-11-25T05:01:37+00:00;-14.1;
2025-11-25T05:03:16+00:00;-15.1;
2025-11-25T05:07:00+00:00;-15.6;
2025-11-25T05:14:49+00:00;-16.1;
2025-11-25T05:16:29+00:00;-17.6;
2025-11-25T05:19:31+00:00;-16.6;
2025-11-25T05:20:32+00:00;-16.1;
2025-11-25T06:09:13+00:00;-16.1;
2025-11-25T06:09:14+00:00;-0.8;
2025-11-25T06:14:53+00:00;-7.0;
2025-11-25T06:17:05+00:00;-13.5;
2025-11-25T06:18:15+00:00;-14.0;
Tue Nov 25 2025 07:19:21 GMT+0100 (Central European Standard Time);-14.0;
