timestamp;[Value air veloc­ity sensor (BS1)][][42782];
2025-11-24T05:10:56+00:00;189.4;
2025-11-24T05:13:42+00:00;187.4;
2025-11-24T05:14:28+00:00;185.3;
2025-11-24T05:15:31+00:00;186.3;
2025-11-24T05:18:29+00:00;182.3;
2025-11-24T05:21:12+00:00;182.3;
2025-11-24T05:21:13+00:00;197.7;
2025-11-24T05:23:48+00:00;198.8;
2025-11-24T05:24:10+00:00;196.8;
2025-11-24T05:26:36+00:00;197.8;
2025-11-24T05:28:58+00:00;200.8;
2025-11-24T05:29:50+00:00;200.8;
2025-11-24T05:31:00+00:00;199.8;
2025-11-24T05:33:25+00:00;199.8;
2025-11-24T05:37:17+00:00;198.8;
2025-11-24T05:38:42+00:00;197.8;
2025-11-24T05:39:13+00:00;198.8;
2025-11-24T05:40:38+00:00;197.8;
2025-11-24T05:42:14+00:00;196.8;
2025-11-24T05:43:58+00:00;197.8;
2025-11-24T05:48:01+00:00;202.0;
2025-11-24T05:50:10+00:00;202.0;
2025-11-24T05:52:46+00:00;200.1;
2025-11-24T05:58:12+00:00;201.1;
2025-11-24T05:58:51+00:00;200.1;
2025-11-24T06:01:21+00:00;201.1;
2025-11-24T06:04:16+00:00;201.1;
2025-11-24T06:05:28+00:00;200.1;
2025-11-24T06:08:51+00:00;199.1;
2025-11-24T06:13:33+00:00;200.1;
2025-11-24T06:13:54+00:00;198.1;
2025-11-24T06:16:01+00:00;200.1;
2025-11-24T06:18:45+00:00;201.1;
2025-11-24T06:20:37+00:00;202.1;
2025-11-24T06:22:10+00:00;201.1;
2025-11-24T06:23:42+00:00;203.1;
2025-11-24T06:24:36+00:00;202.1;
2025-11-24T06:26:29+00:00;202.1;
2025-11-24T06:27:35+00:00;201.1;
2025-11-24T06:28:51+00:00;200.1;
2025-11-24T06:33:29+00:00;198.1;
2025-11-24T06:35:57+00:00;198.1;
2025-11-24T06:38:42+00:00;197.0;
2025-11-24T06:42:30+00:00;197.0;
2025-11-24T06:43:30+00:00;198.0;
2025-11-24T06:44:46+00:00;200.0;
2025-11-24T06:46:27+00:00;200.0;
2025-11-24T06:48:19+00:00;199.0;
2025-11-24T06:49:20+00:00;200.0;
2025-11-24T06:53:57+00:00;200.0;
2025-11-24T06:55:07+00:00;199.0;
2025-11-24T06:56:48+00:00;200.0;
2025-11-24T06:58:20+00:00;199.0;
2025-11-24T06:59:58+00:00;197.0;
2025-11-24T07:03:20+00:00;198.0;
2025-11-24T07:05:50+00:00;197.0;
2025-11-24T07:07:37+00:00;199.0;
2025-11-24T07:09:16+00:00;198.0;
2025-11-24T07:10:50+00:00;195.0;
2025-11-24T07:13:00+00:00;198.0;
2025-11-24T07:14:22+00:00;197.0;
2025-11-24T07:17:37+00:00;196.0;
2025-11-24T07:18:52+00:00;197.0;
2025-11-24T07:23:32+00:00;196.0;
2025-11-24T07:29:34+00:00;201.0;
2025-11-24T07:31:08+00:00;195.0;
2025-11-24T07:33:22+00:00;195.0;
2025-11-24T07:34:38+00:00;196.0;
2025-11-24T07:36:46+00:00;199.0;
2025-11-24T07:39:36+00:00;197.0;
2025-11-24T07:40:02+00:00;198.0;
2025-11-24T07:41:56+00:00;198.0;
2025-11-24T07:44:53+00:00;197.0;
2025-11-24T07:46:30+00:00;198.0;
2025-11-24T07:48:44+00:00;198.0;
2025-11-24T07:50:38+00:00;197.0;
2025-11-24T07:53:54+00:00;196.0;
2025-11-24T07:55:17+00:00;197.0;
2025-11-24T07:57:21+00:00;196.0;
2025-11-24T07:59:36+00:00;196.0;
2025-11-24T08:01:40+00:00;193.0;
2025-11-24T08:04:56+00:00;194.0;
2025-11-24T08:05:52+00:00;192.0;
2025-11-24T08:08:16+00:00;190.9;
2025-11-24T08:10:18+00:00;189.9;
2025-11-24T08:14:37+00:00;188.9;
2025-11-24T08:16:00+00:00;187.9;
2025-11-24T08:18:18+00:00;186.9;
2025-11-24T08:19:55+00:00;187.9;
2025-11-24T08:21:18+00:00;186.9;
2025-11-24T08:25:19+00:00;188.9;
2025-11-24T08:26:10+00:00;185.9;
2025-11-24T08:28:49+00:00;185.8;
2025-11-24T08:30:10+00:00;184.8;
2025-11-24T08:33:31+00:00;182.8;
2025-11-24T08:40:15+00:00;187.7;
2025-11-24T08:42:41+00:00;187.7;
2025-11-24T08:42:42+00:00;196.8;
2025-11-24T08:45:19+00:00;198.8;
2025-11-24T08:49:41+00:00;196.8;
2025-11-24T08:50:05+00:00;198.8;
2025-11-24T08:53:40+00:00;197.8;
2025-11-24T08:54:42+00:00;198.8;
2025-11-24T08:55:14+00:00;199.8;
2025-11-24T08:59:52+00:00;199.8;
2025-11-24T09:02:31+00:00;196.9;
2025-11-24T09:03:31+00:00;197.9;
2025-11-24T09:04:33+00:00;196.9;
2025-11-24T09:09:13+00:00;201.9;
2025-11-24T09:13:43+00:00;200.9;
2025-11-24T09:15:45+00:00;200.9;
2025-11-24T09:17:06+00:00;201.9;
2025-11-24T09:18:45+00:00;202.9;
2025-11-24T09:20:02+00:00;203.9;
2025-11-24T09:22:24+00:00;202.9;
2025-11-24T09:24:47+00:00;201.9;
2025-11-24T09:25:36+00:00;202.9;
2025-11-24T09:26:37+00:00;203.9;
2025-11-24T09:29:59+00:00;203.9;
2025-11-24T09:34:52+00:00;199.9;
2025-11-24T09:36:39+00:00;201.9;
2025-11-24T09:38:31+00:00;200.9;
2025-11-24T09:42:57+00:00;199.9;
2025-11-24T09:45:35+00:00;198.9;
2025-11-24T09:49:20+00:00;199.9;
2025-11-24T09:52:11+00:00;198.9;
2025-11-24T10:00:09+00:00;198.9;
2025-11-24T10:05:20+00:00;199.9;
